inf	art	tank	fight	bomb	cost
0	0	0	3	0	30
0	0	1	0	2	30
0	0	1	1	1	28
0	0	3	0	1	30
0	0	3	1	0	28
0	0	5	0	0	30
0	1	0	0	2	28
0	1	1	2	0	30
0	1	2	0	1	28
0	1	4	0	0	28
0	2	0	1	1	30
0	2	0	2	0	28
0	2	2	1	0	30
0	3	1	0	1	30
0	3	1	1	0	28
0	3	3	0	0	30
0	4	0	0	1	28
0	4	2	0	0	28
0	5	0	1	0	30
0	6	1	0	0	30
0	7	0	0	0	28
1	0	1	2	0	29
1	1	0	1	1	29
1	1	2	1	0	29
1	2	1	0	1	29
1	2	3	0	0	29
1	4	0	1	0	29
1	5	1	0	0	29
2	0	0	0	2	30
2	0	0	1	1	28
2	0	2	0	1	30
2	0	2	1	0	28
2	0	4	0	0	30
2	1	0	2	0	30
2	1	1	0	1	28
2	1	3	0	0	28
2	2	1	1	0	30
2	3	0	0	1	30
2	3	0	1	0	28
2	3	2	0	0	30
2	4	1	0	0	28
2	6	0	0	0	30
3	0	0	2	0	29
3	1	1	1	0	29
3	2	0	0	1	29
3	2	2	0	0	29
3	5	0	0	0	29
4	0	1	0	1	30
4	0	1	1	0	28
4	0	3	0	0	30
4	1	0	0	1	28
4	1	2	0	0	28
4	2	0	1	0	30
4	3	1	0	0	30
4	4	0	0	0	28
5	1	0	1	0	29
5	2	1	0	0	29
6	0	0	0	1	30
6	0	0	1	0	28
6	0	2	0	0	30
6	1	1	0	0	28
6	3	0	0	0	30
7	2	0	0	0	29
8	0	1	0	0	30
8	1	0	0	0	28
10	0	0	0	0	30
